Month Lines-Added Lines-Deleted Path
May-2019:June-2019 8 5 babel.config.js
May-2019:June-2019 1 26 shells/browser/chrome/build.js
May-2019:June-2019 23 14 shells/browser/shared/build.js
May-2019:June-2019 0 13 shells/browser/shared/deploy.js
May-2019:June-2019 0 11 shells/browser/shared/src/background.js
May-2019:June-2019 3 2 shells/browser/shared/src/injectGlobalHook.js
May-2019:June-2019 35 17 shells/browser/shared/src/main.js
May-2019:June-2019 12 6 shells/utils.js
May-2019:June-2019 42 0 src/__tests__/bridge-test.js
May-2019:June-2019 260 0 src/__tests__/inspectedElementContext-test.js
May-2019:June-2019 28 0 src/__tests__/inspectedElementSerializer.js
May-2019:June-2019 200 0 src/__tests__/ownersListContext-test.js
May-2019:June-2019 348 0 src/__tests__/profilerContext-test.js
May-2019:June-2019 75 0 src/__tests__/profilerStore-test.js
May-2019:June-2019 0 479 src/__tests__/profiling-test.js
May-2019:June-2019 569 0 src/__tests__/profilingCache-test.js
May-2019:June-2019 65 118 src/__tests__/profilingCharts-test.js
May-2019:June-2019 16 30 src/__tests__/profilingCommitTreeBuilder-test.js
May-2019:June-2019 20 0 src/__tests__/profilingUtils-test.js
May-2019:June-2019 3 1 src/__tests__/setupTests.js
May-2019:June-2019 19 0 src/__tests__/store-test.js
May-2019:June-2019 42 50 src/__tests__/storeComponentFilters-test.js
May-2019:June-2019 6 1 src/__tests__/storeSerializer.js
May-2019:June-2019 550 0 src/__tests__/treeContext-test.js
May-2019:June-2019 122 16 src/__tests__/utils.js
May-2019:June-2019 80 144 src/backend/agent.js
May-2019:June-2019 579 284 src/backend/renderer.js
May-2019:June-2019 86 46 src/backend/types.js
May-2019:June-2019 3 3 src/bridge.js
May-2019:June-2019 9 5 src/constants.js
May-2019:June-2019 376 0 src/devtools/ProfilerStore.js
May-2019:June-2019 54 345 src/devtools/ProfilingCache.js
May-2019:June-2019 71 243 src/devtools/store.js
May-2019:June-2019 47 0 src/devtools/views/Components/Badge.js
May-2019:June-2019 29 10 src/devtools/views/Components/ComponentFiltersModal.js
May-2019:June-2019 36 82 src/devtools/views/Components/Element.js
May-2019:June-2019 88 0 src/devtools/views/Components/EventsTree.js
May-2019:June-2019 38 0 src/devtools/views/Components/HocBadges.js
May-2019:June-2019 47 8 src/devtools/views/Components/InspectedElementContext.js
May-2019:June-2019 18 1 src/devtools/views/Components/OwnersListContext.js
May-2019:June-2019 21 6 src/devtools/views/Components/OwnersStack.js
May-2019:June-2019 34 8 src/devtools/views/Components/SelectedElement.js
May-2019:June-2019 101 0 src/devtools/views/Components/SelectedTreeHighlight.js
May-2019:June-2019 5 4 src/devtools/views/Components/ToggleComponentFiltersModalButton.js
May-2019:June-2019 184 77 src/devtools/views/Components/Tree.js
May-2019:June-2019 33 13 src/devtools/views/Components/TreeContext.js
May-2019:June-2019 7 0 src/devtools/views/Components/TreeFocusedContext.js
May-2019:June-2019 14 2 src/devtools/views/Components/types.js
May-2019:June-2019 4 34 src/devtools/views/DevTools.js
May-2019:June-2019 6 3 src/devtools/views/Profiler/ChartNode.js
May-2019:June-2019 4 3 src/devtools/views/Profiler/ClearProfilingDataButton.js
May-2019:June-2019 10 0 src/devtools/views/Profiler/CommitFilterModal.js
May-2019:June-2019 41 41 src/devtools/views/Profiler/CommitFlamegraph.js
May-2019:June-2019 13 5 src/devtools/views/Profiler/CommitFlamegraphListItem.js
May-2019:June-2019 14 37 src/devtools/views/Profiler/CommitRanked.js
May-2019:June-2019 6 3 src/devtools/views/Profiler/CommitRankedListItem.js
May-2019:June-2019 50 68 src/devtools/views/Profiler/CommitTreeBuilder.js
May-2019:June-2019 67 27 src/devtools/views/Profiler/FlamegraphChartBuilder.js
May-2019:June-2019 15 11 src/devtools/views/Profiler/InteractionListItem.js
May-2019:June-2019 9 22 src/devtools/views/Profiler/Interactions.js
