Make and Model,Class,Size,Weight,Volume,Fatalities
GMC Yukon XL 1500 4WD,SUV,Very large,"5,800",1342656,0
Infiniti QX60 2WD Luxury,SUV,Midsize,"4,383",1047200,0
Land Rover Range Rover Evoque 4WD Luxury,SUV,Small,"3,615",825600,0
Lexus NX 200t 4WD Luxury,SUV,Midsize,"4,050",875420,0
Mercedes-Benz C-Class sedan 4WD Luxury,car,Midsize,3594,748695,0
Porsche Cayenne 4WD Luxury,SUV,Large,"4,488",1010963,0
Volkswagen Golf 4-door,car,Small,"2,963",675849,0
Lexus GX 460 4WD Luxury,SUV,Large,"5,130",1051392,3
Subaru Outback,Station wagon,Midsize,"3,580",902880,3
Acura RDX 2WD Luxury,SUV,Midsize,"3,946",885040,4
BMW X5 4WD Luxury,SUV,Midsize,"5,260",1012092,4
BMW X3 4WD Luxury SUV,SUV,Midsize,4150,898656,5
Nissan Leaf 4-door,car,Small,"3,323",747250,5
Cadillac Escalade 4WD Luxury,SUV,Large,5985,1222776,6
Lexus CT 200h Luxury,car,Midsize,"3,130",682290,6
Mitsubishi Outlander 4WD,SUV,Small,3472,793780,7
Toyota Sienna 4WD,Minivan,Very large,4705,1076400,7
Toyota Tundra Crew Max 4WD,Pickup,Large,5760,1392320,7
Chevrolet Suburban 1500 4WD,SUV,Very large,5822,1326080,8
Honda Odyssey,Minivan,Very large,"4,396",1090516,8
Ford Fiesta,car,Mini,"2,537",620160,141
Hyundai Accent,car,mini,2480,618678,116
Chevrolet Sonic,car,small,2733,641920,98
Nissan Versa Note,Station wagon,small,2460,670268,96
Fiat 500,car,mini,2366,528640,95
Hyundai Accent,car,small,2767,728460,89
Kia Forte,car,small,2804,705600,89
Nissan Versa,car,small,2363,703500,88
Kia Rio,car,mini,2494,616284,87
Ford Mustang GT coupe,car,midsize,"3,526",761400,81
Nissan Sentra,car,small,2823,740922,81
Chevrolet Trax 2WD,suv,small,3124,764400,73
Mitsubishi Mirage htachback,car,mini,2018,580206,72
kia soul,car,small,2884,740672,70
buick verano,car,midsize,3300,757712,68
ford focus,car,small,2935,718272,68
nissan maxima,car,midsize,"3,478",803073,68
Mitsubishi Outlander Sport 4WD ,suv,small,3285,793780,67
honda pilot,suv,midsize,"4,054",1078350,11
kia sorento,suv,midsize,3704,913308,12
toyota 4runner,suv,midsize,"4,400",1039680,13
toyota highliander,suv,midsize,4165,997424,13
